NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
14/03/2025,135600,136300,130800,131400,-5100,-0.03736263736263734,16094000
13/03/2025,136100,138000,136100,136500,600,0.004415011037527616,3610200
12/03/2025,137700,138700,135900,135900,-1600,-0.011636363636363667,6185000
11/03/2025,138000,138500,137000,137500,-1800,-0.012921751615218913,5784400
10/03/2025,141500,141500,139200,139300,-2100,-0.014851485148514865,5323000
07/03/2025,141700,142700,141100,141400,-200,-0.0014124293785310327,2954500
06/03/2025,139500,143500,139500,141600,2500,0.01797268152408349,6417100
05/03/2025,140000,140100,139100,139100,-900,-0.00642857142857145,2851100
04/03/2025,139500,140600,139300,140000,-500,-0.003558718861209953,3471300
03/03/2025,140500,141400,140300,140500,200,0.0014255167498218313,2533900
28/02/2025,140100,141100,139000,140300,-1000,-0.00707714083510258,4694400
27/02/2025,142000,142200,140700,141300,-500,-0.0035260930888575404,3421700
26/02/2025,139100,141800,138900,141800,2800,0.020143884892086295,3323400
25/02/2025,140400,140400,138200,139000,-1500,-0.010676156583629859,6810400
24/02/2025,142000,142000,139500,140500,-1500,-0.010563380281690127,7497900
21/02/2025,142800,142900,141500,142000,-1000,-0.006993006993006978,5312600
20/02/2025,144200,144600,143000,143000,-1000,-0.00694444444444442,3385400
19/02/2025,143900,144900,143100,144000,100,0.0006949270326614965,3029800
18/02/2025,143800,144400,143100,143900,300,0.002089136490250665,1664400
17/02/2025,145000,145000,143400,143600,-1300,-0.00897170462387853,2466300
14/02/2025,144000,145000,143600,144900,1800,0.012578616352201255,3251700
13/02/2025,145000,145000,142700,143100,-1900,-0.013103448275862073,2850800
12/02/2025,145600,145700,144300,145000,-400,-0.0027510316368638543,1887400
11/02/2025,142200,145400,140100,145400,3400,0.023943661971830954,5361400
10/02/2025,145500,145500,142000,142000,-4100,-0.02806297056810403,7749600
07/02/2025,146500,146700,145800,146100,-400,-0.0027303754266211344,3865900
06/02/2025,147000,147300,145600,146500,200,0.0013670539986330166,3426600
05/02/2025,146900,147500,145800,146300,100,0.0006839945280436854,5204100
04/02/2025,146000,147000,145300,146200,700,0.004810996563573866,5467700
03/02/2025,148000,149200,145300,145500,-7900,-0.05149934810951762,12747700
24/01/2025,154100,154500,153400,153400,-900,-0.005832793259883395,3655700
23/01/2025,150100,156000,150000,154300,4600,0.030728122912491607,7057800
22/01/2025,149600,150600,149200,149700,-200,-0.0013342228152101177,2785600
21/01/2025,150500,151400,149000,149900,-100,-0.0006666666666667043,2480300
20/01/2025,149000,150400,148200,150000,1000,0.006711409395973256,2217700
17/01/2025,146600,150100,146000,149000,2500,0.017064846416382284,3537000
16/01/2025,146200,147000,145200,146500,1000,0.0068728522336769515,3568000
15/01/2025,146000,146500,144800,145500,400,0.002756719503790528,2840900
14/01/2025,147600,148000,145100,145100,-2500,-0.01693766937669372,2897200
13/01/2025,146100,148500,144700,147600,300,0.0020366598778003286,3488800
10/01/2025,148800,149100,147200,147300,-1500,-0.01008064516129037,2524700
09/01/2025,148300,149200,148000,148800,500,0.003371544167228624,1714400
08/01/2025,150000,150000,148100,148300,-1800,-0.011992005329780175,3879900
07/01/2025,149500,151300,149500,150100,800,0.005358338914936311,3453300
06/01/2025,149100,150200,148400,149300,300,0.002013422818792021,3467100
03/01/2025,151300,151300,149000,149000,-3000,-0.019736842105263164,4336100
02/01/2025,152500,152700,150100,152000,-500,-0.003278688524590123,3172800
31/12/2024,150700,153900,150300,152500,2000,0.013289036544850585,3603200
30/12/2024,149400,150800,148500,150500,900,0.006016042780748743,1982400
27/12/2024,149500,149900,148700,149600,-200,-0.001335113484646211,2561700
26/12/2024,151000,151400,149100,149800,-1000,-0.006631299734747964,2233300
25/12/2024,150600,151200,150400,150800,400,0.0026595744680850686,2513100
24/12/2024,150000,150800,149400,150400,600,0.004005340453938633,2300900
23/12/2024,149500,149900,148700,149800,300,0.0020066889632106566,2514800
20/12/2024,148500,150600,148300,149500,1400,0.009453072248480687,3538900
19/12/2024,147300,149000,147200,148100,-600,-0.00403496973772699,4805200
18/12/2024,148000,149800,148000,148700,700,0.004729729729729737,2923400
17/12/2024,150100,150500,147700,148000,-1900,-0.012675116744496284,5947500
16/12/2024,149600,150600,149500,149900,400,0.0026755852842810235,3291100
13/12/2024,149500,150900,149400,149500,-700,-0.0046604527296937315,3379800
12/12/2024,151900,151900,149200,150200,-300,-0.001993355481727521,4147900
11/12/2024,150000,151700,149700,150500,1000,0.006688963210702337,4816600
10/12/2024,147100,149500,147000,149500,2500,0.017006802721088343,3597200
09/12/2024,149200,149500,146100,147000,-2500,-0.01672240802675584,4539000
06/12/2024,151900,151900,148000,149500,1000,0.006734006734006703,4541200
05/12/2024,144000,148500,143600,148500,5000,0.03484320557491283,4849200
04/12/2024,145000,146300,142800,143500,-1500,-0.010344827586206917,5609100
03/12/2024,141700,145900,141700,145000,2800,0.019690576652601877,5103700
02/12/2024,144300,146000,141600,142200,-1100,-0.007676203768318235,6616800
29/11/2024,138433.95702874777,144392.3769869435,138036.72903153472,143299.9999946076,4900,0.035150645624103305,13487700
