NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
14/03/2025,68200,68300,67300,67700,-600,-0.008784773060029227,942800
13/03/2025,67900,68800,67800,68300,400,0.00589101620029453,1088000
12/03/2025,67800,68300,67400,67900,500,0.007418397626112849,761300
11/03/2025,67600,67700,67000,67400,-400,-0.005899705014749235,523600
10/03/2025,68100,68200,67200,67800,0,0,1420900
07/03/2025,68300,68400,67700,67800,-500,-0.007320644216691097,1398100
06/03/2025,68300,68500,68100,68300,-100,-0.0014619883040936088,829800
05/03/2025,69200,69300,68400,68400,-700,-0.01013024602026047,740500
04/03/2025,68600,69400,68300,69100,500,0.007288629737609353,1445200
03/03/2025,68100,68700,68100,68600,600,0.008823529411764675,647800
28/02/2025,68100,68700,68000,68000,0,0,787600
27/02/2025,68400,68600,67900,68000,-400,-0.005847953216374324,809600
26/02/2025,68700,68900,68400,68400,-300,-0.004366812227074246,519300
25/02/2025,68700,69300,68300,68700,100,0.001457725947521915,809600
24/02/2025,68200,68800,67800,68600,200,0.0029239766081872176,1066000
21/02/2025,68600,68800,68200,68400,-400,-0.005813953488372103,767500
20/02/2025,69200,69300,68500,68800,100,0.0014556040756914523,601500
19/02/2025,68200,69000,67900,68700,700,0.010294117647058787,1389800
18/02/2025,68000,68300,67700,68000,200,0.002949852507374562,634400
17/02/2025,67700,68400,67500,67800,100,0.001477104874446189,762900
14/02/2025,67300,67900,67000,67700,1000,0.014992503748125996,1147200
13/02/2025,67100,67100,66600,66700,-400,-0.005961251862891204,650700
12/02/2025,67000,67500,67000,67100,100,0.0014925373134329067,344200
11/02/2025,67300,67900,66500,67000,-300,-0.004457652303120341,671300
10/02/2025,67200,67600,66900,67300,0,0,732900
07/02/2025,67600,68000,67300,67300,-300,-0.004437869822485174,818200
06/02/2025,68200,68200,67500,67600,-200,-0.002949852507374673,539300
05/02/2025,67500,68100,67400,67800,700,0.010432190760059523,652400
04/02/2025,66900,67300,66900,67100,0,0,398400
03/02/2025,67800,67800,66900,67100,-800,-0.01178203240058906,463200
24/01/2025,67000,67900,66800,67900,900,0.013432835820895495,432300
23/01/2025,66800,67200,66700,67000,200,0.0029940119760478723,317100
22/01/2025,67500,67500,66700,66800,-300,-0.0044709388971684305,313300
21/01/2025,68000,68100,67100,67100,-600,-0.008862629246676468,349300
20/01/2025,67200,68200,66800,67700,900,0.013473053892215647,662000
17/01/2025,67200,67200,66600,66800,-100,-0.001494768310911776,321700
16/01/2025,67100,67300,66600,66900,100,0.0014970059880239361,493400
15/01/2025,67200,67400,66800,66800,-100,-0.001494768310911776,395000
14/01/2025,66500,67400,66500,66900,500,0.0075301204819278045,397300
13/01/2025,66700,67100,66200,66400,-300,-0.004497751124437732,542400
10/01/2025,67000,67500,66700,66700,-300,-0.004477611940298498,422600
09/01/2025,67200,67500,66800,67000,-100,-0.0014903129657227732,369400
08/01/2025,67000,67200,66600,67100,100,0.0014925373134329067,521700
07/01/2025,67600,67900,66900,67000,-500,-0.007407407407407418,683200
06/01/2025,68000,68200,67300,67500,-500,-0.007352941176470562,673300
03/01/2025,68100,68400,68000,68000,-100,-0.001468428781204123,460500
02/01/2025,68300,68500,68000,68100,0,0,427800
31/12/2024,68400,68700,68100,68100,-100,-0.0014662756598240456,770800
30/12/2024,68600,68800,68200,68200,-300,-0.004379562043795637,402400
27/12/2024,68700,69000,68500,68500,0,0,539900
26/12/2024,68600,69600,68500,68500,100,0.0014619883040936088,997100
25/12/2024,68300,68900,68300,68400,200,0.0029325513196480912,456300
24/12/2024,68600,68700,68200,68200,-300,-0.004379562043795637,509800
23/12/2024,68800,69100,68500,68500,-100,-0.001457725947521915,563700
20/12/2024,68500,68800,68400,68600,100,0.0014598540145984717,341700
19/12/2024,68200,68600,68000,68500,0,0,721400
18/12/2024,68400,68700,68300,68500,500,0.007352941176470562,504100
17/12/2024,68100,68500,68000,68000,-100,-0.001468428781204123,412900
16/12/2024,68500,68600,68100,68100,-300,-0.004385964912280715,350100
13/12/2024,68500,68600,68200,68400,-100,-0.0014598540145985828,348000
12/12/2024,68800,69000,68500,68500,-200,-0.0029112081513827937,516000
11/12/2024,69000,69200,68600,68700,-300,-0.004347826086956497,539000
10/12/2024,69400,69600,69000,69000,-300,-0.0043290043290042934,402500
09/12/2024,69500,69500,69200,69300,100,0.0014450867052022698,395900
06/12/2024,69900,69900,69000,69200,300,0.004354136429608024,430800
05/12/2024,68700,69800,68500,68900,300,0.004373177842565523,630900
04/12/2024,68700,69200,68500,68600,-100,-0.0014556040756914523,308300
03/12/2024,69300,69600,68700,68700,-500,-0.007225433526011571,634300
02/12/2024,69700,69800,69000,69200,-400,-0.005747126436781658,404200
29/11/2024,69300,69800,69200,69600,300,0.0043290043290042934,283000
28/11/2024,69300,70000,69300,69300,0,0,442900
27/11/2024,69800,69800,69000,69300,-300,-0.004310344827586188,417500
26/11/2024,69400,69900,69400,69600,300,0.0043290043290042934,448200
25/11/2024,69400,70300,69300,69300,100,0.0014450867052022698,901200
22/11/2024,68600,70600,68600,69200,1000,0.014662756598240456,1015100
21/11/2024,67800,68600,67800,68200,600,0.008875739644970349,1167900
20/11/2024,67900,68400,67500,67600,-300,-0.004418262150220897,711800
19/11/2024,69500,69700,67900,67900,-1100,-0.01594202898550723,693100
18/11/2024,68600,69100,68300,69000,400,0.005830903790087438,936700
15/11/2024,68900,69400,68600,68600,-400,-0.005797101449275366,774000
14/11/2024,69200,70300,69000,69000,-500,-0.007194244604316502,543800
13/11/2024,70000,70000,68000,69500,-300,-0.004297994269340966,827600
12/11/2024,70100,70500,69800,69800,-300,-0.004279600570613384,425500
11/11/2024,70100,70500,70000,70100,100,0.0014285714285713347,544200
08/11/2024,70200,70800,70000,70000,-100,-0.0014265335235378318,428800
07/11/2024,71000,71000,70100,70100,0,0,372800
06/11/2024,70000,71100,69900,70100,500,0.007183908045977017,501500
05/11/2024,69900,70000,69400,69600,-300,-0.0042918454935622075,542000
04/11/2024,70400,70400,69900,69900,-300,-0.004273504273504258,461700
01/11/2024,70500,70700,70000,70200,-300,-0.004255319148936176,427300
31/10/2024,71000,71000,70500,70500,-100,-0.0014164305949008194,620200
30/10/2024,70900,71300,70600,70600,-200,-0.0028248587570621764,318400
29/10/2024,70700,71100,70700,70800,100,0.0014144271570013522,352000
28/10/2024,70900,71000,70700,70700,-200,-0.0028208744710860323,311300
25/10/2024,71000,71400,70900,70900,-100,-0.0014084507042253502,322500
