NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
14/03/2025,27700,27850,27550,27550,-150,-0.005415162454873612,18279900
13/03/2025,27850,28050,27700,27700,-100,-0.003597122302158251,24809400
12/03/2025,28200,28200,27800,27800,-350,-0.01243339253996445,20641600
11/03/2025,27600,28150,27600,28150,200,0.007155635062611854,26088500
10/03/2025,28100,28200,27950,27950,-100,-0.0035650623885917776,23580500
07/03/2025,28000,28100,27750,28050,100,0.003577817531305927,33131200
06/03/2025,27600,27950,27600,27950,400,0.014519056261343088,36975600
05/03/2025,27850,27900,27550,27550,-300,-0.010771992818671472,30385500
04/03/2025,28050,28050,27650,27850,-200,-0.007130124777183555,27424100
03/03/2025,28050,28250,28000,28050,50,0.0017857142857142794,20663700
28/02/2025,28400,28400,27950,28000,-450,-0.01581722319859402,24214400
27/02/2025,27800,28450,27600,28450,700,0.02522522522522519,51120800
26/02/2025,27600,27950,27550,27750,250,0.009090909090909038,31819600
25/02/2025,27600,27700,27200,27500,-200,-0.0072202166064981865,31575300
24/02/2025,28300,28300,27550,27700,1250,0.047258979206049156,73891100
21/02/2025,26550,26600,26400,26450,-100,-0.0037664783427495685,11063800
20/02/2025,26550,26600,26500,26550,50,0.0018867924528302993,11910400
19/02/2025,26600,26600,26400,26500,-50,-0.0018832391713747842,13653000
18/02/2025,26350,26600,26300,26550,400,0.015296367112810794,24939500
17/02/2025,26150,26250,26050,26150,50,0.0019157088122605526,14369400
14/02/2025,26100,26300,26000,26100,200,0.007722007722007707,18580600
13/02/2025,25950,26000,25850,25900,50,0.0019342359767891004,9499100
12/02/2025,26200,26200,25850,25850,-250,-0.009578544061302652,13651300
11/02/2025,25450,26100,25450,26100,700,0.027559055118110187,28896000
10/02/2025,26500,26500,25400,25400,-1250,-0.046904315196998114,61096500
07/02/2025,26800,26800,26600,26650,-150,-0.005597014925373123,12547400
06/02/2025,26800,26950,26750,26800,0,0,13535000
05/02/2025,26850,27000,26750,26800,-50,-0.0018621973929237035,14466500
04/02/2025,26500,27000,26450,26850,450,0.017045454545454586,17358200
03/02/2025,26500,26600,26250,26400,-150,-0.005649717514124242,16971700
24/01/2025,26650,26650,26450,26550,-100,-0.0037523452157598447,10401300
23/01/2025,26200,26750,26150,26650,500,0.019120458891013437,15792000
22/01/2025,26400,26400,26150,26150,-150,-0.005703422053231932,10280000
21/01/2025,26600,26600,26200,26300,-150,-0.005671077504725952,10421500
20/01/2025,26500,26750,26450,26450,-50,-0.0018867924528301883,9654200
17/01/2025,26300,26500,26100,26500,200,0.0076045627376426506,13950100
16/01/2025,26300,26450,26050,26300,100,0.003816793893129722,11206800
15/01/2025,26000,26250,25900,26200,350,0.013539651837524147,11221600
14/01/2025,25950,26000,25800,25850,-50,-0.0019305019305019266,7660700
13/01/2025,25550,26050,25450,25900,350,0.013698630136986356,13576000
10/01/2025,26000,26100,25550,25550,-450,-0.017307692307692357,14273600
09/01/2025,26300,26300,25900,26000,-250,-0.00952380952380949,9236900
