NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
07/03/2025,46700,47100,46550,46600,0,0,113300
06/03/2025,46250,46800,45800,46600,350,0.00756756756756749,69700
05/03/2025,47000,47200,46200,46250,-800,-0.01700318809776835,277000
04/03/2025,47300,47400,46900,47050,-350,-0.007383966244725704,175900
03/03/2025,48400,48400,47350,47400,-500,-0.01043841336116913,187300
28/02/2025,47950,47950,47100,47900,0,0,159700
27/02/2025,48000,48300,47650,47900,-100,-0.002083333333333326,99400
26/02/2025,47750,48500,47750,48000,250,0.005235602094240788,192900
25/02/2025,48100,48450,47550,47750,-350,-0.007276507276507305,149400
24/02/2025,48500,48600,47650,48100,-400,-0.008247422680412342,193000
21/02/2025,49450,49750,48400,48500,-750,-0.015228426395939132,188700
20/02/2025,47850,49300,47600,49250,1250,0.02604166666666674,213700
19/02/2025,48700,50000,47000,48000,-850,-0.017400204708290734,564700
18/02/2025,49000,49400,48550,48850,50,0.0010245901639345245,137900
17/02/2025,48300,50500,48300,48800,700,0.01455301455301461,526500
14/02/2025,48500,48900,47650,48100,200,0.0041753653444676075,300000
13/02/2025,48100,48800,47650,47900,-100,-0.002083333333333326,243300
12/02/2025,48800,48900,47800,48000,-600,-0.012345679012345734,118100
11/02/2025,46500,49700,46500,48600,2150,0.046286329386437064,966900
10/02/2025,47250,47300,46100,46450,-800,-0.016931216931216908,162400
07/02/2025,46950,48300,46750,47250,250,0.005319148936170137,253100
06/02/2025,45350,47000,44800,47000,2000,0.04444444444444451,204300
05/02/2025,45650,45650,44000,45000,-200,-0.004424778761061954,104600
04/02/2025,44600,45350,44600,45200,600,0.013452914798206317,86100
03/02/2025,44000,44600,43700,44600,400,0.009049773755656076,50300
24/01/2025,44800,44800,44000,44200,-600,-0.013392857142857095,75600
23/01/2025,45600,45600,44000,44800,-400,-0.008849557522123908,46700
22/01/2025,44950,46000,44400,45200,850,0.01916572717023679,146600
21/01/2025,45000,45200,43900,44350,-550,-0.012249443207126953,102500
20/01/2025,44300,45000,44300,44900,600,0.013544018058690765,92200
