NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
14/03/2025,70500,71900,70400,71100,700,0.009943181818181879,7301100
13/03/2025,68700,71200,68700,70400,1700,0.024745269286754024,11573600
12/03/2025,68900,69700,68700,68700,-200,-0.002902757619738794,4987800
11/03/2025,68200,68900,68100,68900,0,0,4533500
10/03/2025,69000,69900,68700,68900,-100,-0.0014492753623188692,5117800
07/03/2025,69200,70000,68400,69000,-200,-0.0028901734104046506,4410100
06/03/2025,68400,69200,68200,69200,1000,0.014662756598240456,4342500
05/03/2025,69300,70200,68200,68200,-900,-0.013024602026049159,6222600
04/03/2025,68000,69100,67400,69100,1100,0.016176470588235237,5946400
03/03/2025,67800,68400,67700,68000,300,0.004431314623338345,2758100
28/02/2025,68400,68500,67500,67700,-700,-0.010233918128654929,3925400
27/02/2025,68500,69300,68200,68400,100,0.0014641288433381305,4565500
26/02/2025,68400,68600,68000,68300,-100,-0.0014619883040936088,2082800
25/02/2025,67800,68900,67800,68400,800,0.01183431952662728,5119200
24/02/2025,67200,67700,66800,67600,0,0,3245600
21/02/2025,68000,68000,67200,67600,-400,-0.00588235294117645,2315500
20/02/2025,68000,68000,67500,68000,300,0.004431314623338345,2935400
19/02/2025,66600,67700,66600,67700,1300,0.01957831325301207,3261800
18/02/2025,66400,67200,66000,66400,0,0,2602400
17/02/2025,68100,68400,66200,66400,-1700,-0.02496328928046987,5693000
14/02/2025,69200,69400,67800,68100,-800,-0.011611030478954953,2983400
13/02/2025,68800,69000,68300,68900,-100,-0.0014492753623188692,1824000
12/02/2025,68700,69100,68300,69000,300,0.004366812227074135,2088500
11/02/2025,68800,68900,68100,68700,-100,-0.0014534883720930258,2435600
10/02/2025,67800,69700,67800,68800,1100,0.01624815361890697,6909800
07/02/2025,67700,68000,67200,67700,300,0.004451038575667754,2265600
06/02/2025,67500,68100,67200,67400,-100,-0.001481481481481528,2799000
05/02/2025,68700,68700,67300,67500,-1100,-0.01603498542274051,4852700
04/02/2025,68100,68800,68100,68600,600,0.008823529411764675,3948000
03/02/2025,67800,68400,67000,68000,0,0,4360300
24/01/2025,65500,68000,65400,68000,2600,0.039755351681957096,6680300
23/01/2025,65300,66100,65200,65400,200,0.0030674846625766694,3685200
22/01/2025,65800,66200,65200,65200,-500,-0.007610350076103556,2338800
21/01/2025,65600,66400,65400,65700,200,0.003053435114503733,2258500
20/01/2025,66000,66300,65500,65500,-400,-0.006069802731411222,1814200
17/01/2025,66300,66400,65700,65900,-400,-0.006033182503770718,1689700
16/01/2025,66500,66500,65300,66300,500,0.0075987841945288626,2458700
15/01/2025,64500,66400,64000,65800,2100,0.03296703296703307,4159100
14/01/2025,65000,65300,63700,63700,-1300,-0.020000000000000018,3586600
13/01/2025,65400,65500,64400,65000,-500,-0.007633587786259555,3672000
10/01/2025,67300,67400,65500,65500,-1800,-0.026745913818722156,2905200
09/01/2025,67800,68100,66800,67300,-400,-0.005908419497784312,1886700
08/01/2025,66900,68000,66600,67700,900,0.013473053892215647,2812900
07/01/2025,67300,68200,66500,66800,-400,-0.005952380952380931,5735600
06/01/2025,69800,70200,67200,67200,-2500,-0.03586800573888094,5156900
03/01/2025,70800,70800,69600,69700,-1100,-0.015536723163841804,2679200
02/01/2025,70100,70900,70000,70800,800,0.011428571428571344,2326400
31/12/2024,70200,70800,70000,70000,-100,-0.0014265335235378318,2800400
30/12/2024,70300,70800,70000,70100,-300,-0.0042613636363636465,1654300
27/12/2024,70500,71100,70400,70400,-100,-0.0014184397163120588,2398100
26/12/2024,71100,71300,70500,70500,-200,-0.0028288543140028155,2134200
25/12/2024,70200,71200,70200,70700,500,0.007122507122507171,3713100
24/12/2024,70400,70600,69900,70200,-100,-0.0014224751066855834,3833400
23/12/2024,70900,71000,70300,70300,0,0,1755400
20/12/2024,70500,70600,70000,70300,-100,-0.0014204545454545858,2753800
19/12/2024,71000,71200,70300,70400,-1000,-0.014005602240896309,3513100
18/12/2024,71100,71400,71000,71400,400,0.005633802816901401,2486900
17/12/2024,71000,71300,71000,71000,-100,-0.0014064697609000865,1652300
16/12/2024,71200,71700,70900,71100,0,0,2462600
13/12/2024,72000,72000,71000,71100,-1000,-0.01386962552011095,3536600
12/12/2024,72500,72700,72100,72100,-600,-0.008253094910591452,2674500
11/12/2024,73000,73700,72200,72700,0,0,2857600
10/12/2024,73000,73300,72700,72700,-500,-0.006830601092896127,2512300
09/12/2024,73400,73600,73100,73200,-200,-0.0027247956403270157,2810900
06/12/2024,74100,74200,73200,73400,-300,-0.004070556309362261,5635400
05/12/2024,71900,73700,71800,73700,1600,0.02219140083217752,5390800
04/12/2024,72500,72500,71400,72100,-600,-0.008253094910591452,4106400
03/12/2024,72400,73000,72400,72700,100,0.0013774104683195176,2928400
02/12/2024,73200,73500,72500,72600,-600,-0.008196721311475419,2724700
29/11/2024,72500,73600,72200,73200,800,0.011049723756906049,4424300
28/11/2024,72900,73000,72200,72400,-300,-0.004126547455295726,3106100
27/11/2024,72500,72900,72400,72700,0,0,2239300
26/11/2024,72300,73100,72100,72700,500,0.006925207756232732,4756300
25/11/2024,71200,72500,71000,72200,1200,0.016901408450704203,4915500
22/11/2024,71300,71600,70800,71000,-300,-0.0042075736325385416,3658600
21/11/2024,70500,71500,70100,71300,1000,0.014224751066856278,3799900
20/11/2024,69900,70900,69100,70300,300,0.004285714285714226,3919900
19/11/2024,70600,71400,70000,70000,-300,-0.004267425320056861,3920200
18/11/2024,70600,71100,69300,70300,-300,-0.004249291784702569,5225100
15/11/2024,71100,71700,70600,70600,-800,-0.011204481792717047,5685500
14/11/2024,72600,73200,71400,71400,-1600,-0.021917808219178103,4521100
13/11/2024,72300,73100,71900,73000,500,0.006896551724137945,4122600
12/11/2024,73500,73900,72400,72500,-1000,-0.013605442176870763,3990400
11/11/2024,72300,73700,71300,73500,1200,0.016597510373443924,8239800
08/11/2024,73300,73600,72200,72300,-1000,-0.013642564802182844,7811800
07/11/2024,74300,74400,73300,73300,-900,-0.0121293800539084,4433800
06/11/2024,73500,74400,73300,74200,1100,0.015047879616963078,6268000
05/11/2024,73200,73700,73000,73100,-100,-0.001366120218579181,4967700
04/11/2024,74500,74700,73100,73200,-1300,-0.01744966442953022,8323700
01/11/2024,76100,76400,74200,74500,-2100,-0.02741514360313313,13047900
31/10/2024,77300,77400,76000,76600,-1500,-0.01920614596670933,8540200
30/10/2024,78000,78100,76800,78100,100,0.0012820512820512775,5638600
29/10/2024,78100,78200,77300,78000,100,0.0012836970474967568,3292200
28/10/2024,77200,77900,76300,77900,700,0.0090673575129534,5735500
25/10/2024,79100,79300,77200,77200,-1300,-0.016560509554140124,10132900
24/10/2024,79500,80600,78500,78500,-900,-0.01133501259445846,5506000
23/10/2024,79000,80100,78300,79400,500,0.006337135614702172,4189400
22/10/2024,80000,80400,78500,78900,-1300,-0.016209476309226978,7311400
21/10/2024,80100,81200,79700,80200,-200,-0.0024875621890547706,5181300
18/10/2024,81300,81400,80300,80400,-600,-0.007407407407407418,5100500
17/10/2024,80600,81000,79300,81000,600,0.00746268656716409,5878300
16/10/2024,80800,82300,80000,80400,-400,-0.004950495049504955,8065600
15/10/2024,80300,81500,80200,80800,500,0.0062266500622665255,6647800
14/10/2024,82000,82100,80100,80300,-800,-0.009864364981504337,5907400
11/10/2024,80200,81100,79500,81100,1100,0.013749999999999929,6900400
10/10/2024,78000,80500,77900,80000,3000,0.03896103896103886,19870800
09/10/2024,75300,77100,75100,77000,1800,0.02393617021276606,8346300
08/10/2024,75000,75400,74600,75200,400,0.005347593582887722,2771300
07/10/2024,76000,76300,74500,74800,-800,-0.010582010582010581,4123200
04/10/2024,76000,76400,75500,75600,-400,-0.0052631578947368585,3189400
03/10/2024,76000,77300,76000,76000,0,0,7165200
02/10/2024,76300,76500,76000,76000,-600,-0.007832898172323799,2345800
01/10/2024,75800,77400,75800,76600,900,0.011889035667107084,6912000
30/09/2024,75900,76600,75600,75700,-200,-0.0026350461133070047,3473400
27/09/2024,76300,76400,75200,75900,-200,-0.0026281208935611255,3725200
26/09/2024,75800,76400,75700,76100,600,0.007947019867549754,4617400
25/09/2024,75100,75800,75100,75500,700,0.009358288770053402,5135300
24/09/2024,74400,74800,74000,74800,400,0.005376344086021501,3044400
23/09/2024,74700,75300,74400,74400,-300,-0.004016064257028162,1836800
20/09/2024,75000,75700,74600,74700,300,0.0040322580645162365,4014300
19/09/2024,74500,74800,74000,74400,0,0,2663300
18/09/2024,74700,75300,74400,74400,-100,-0.0013422818791946067,2719900
17/09/2024,73000,74500,72800,74500,1600,0.021947873799725626,2785100
16/09/2024,74200,74600,72800,72900,-1300,-0.01752021563342321,5065500
13/09/2024,75100,75400,74200,74200,-900,-0.011984021304926817,2857800
