NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
14/03/2025,61500,62300,61200,61500,0,0,8759800
13/03/2025,62700,62800,61200,61500,-1200,-0.019138755980861233,7327800
12/03/2025,63000,63000,61900,62700,-300,-0.004761904761904745,8817600
11/03/2025,61400,63200,61400,63000,800,0.012861736334405238,9576900
10/03/2025,62000,62300,61400,62200,300,0.004846526655896577,8125200
07/03/2025,61800,62000,61300,61900,0,0,5404100
06/03/2025,59800,61900,59600,61900,2300,0.038590604026845554,13451900
05/03/2025,59800,60200,59300,59600,100,0.001680672268907557,7188800
04/03/2025,58700,59900,58400,59500,700,0.011904761904761862,6414100
03/03/2025,58200,59100,57800,58800,500,0.00857632933104635,5938000
28/02/2025,58000,58700,57800,58300,-300,-0.005119453924914641,5283200
27/02/2025,58700,58800,58200,58600,-100,-0.0017035775127768327,3222900
26/02/2025,58300,59100,57800,58700,400,0.006861063464836947,4977600
25/02/2025,58100,58400,57400,58300,-100,-0.001712328767123239,7929200
24/02/2025,58100,58500,57300,58400,300,0.005163511187607606,6243200
21/02/2025,56800,58300,56600,58100,1400,0.024691358024691468,10123600
20/02/2025,55900,56700,55700,56700,900,0.016129032258064502,6194500
19/02/2025,54700,56100,54400,55800,1300,0.023853211009174258,7547500
18/02/2025,54000,55000,53800,54500,400,0.007393715341959428,4497600
17/02/2025,55200,55200,54100,54100,-1100,-0.019927536231884035,5933200
14/02/2025,55100,55300,53800,55200,400,0.007299270072992803,11169000
13/02/2025,56000,56000,54800,54800,-1600,-0.028368794326241176,11353700
12/02/2025,56800,57300,56400,56400,0,0,4848400
11/02/2025,57400,57400,56400,56400,-1000,-0.017421602787456414,5986000
10/02/2025,58300,58300,57400,57400,-1500,-0.025466893039049254,5927400
07/02/2025,58900,59000,57800,58900,-200,-0.0033840947546531774,6955900
06/02/2025,59500,59600,58700,59100,-300,-0.005050505050505083,4148800
05/02/2025,59600,59800,59100,59400,-200,-0.003355704697986628,2780100
04/02/2025,59900,59900,59000,59600,0,0,3638100
03/02/2025,59000,59600,58500,59600,-500,-0.008319467554076532,5157500
24/01/2025,59200,60100,58600,60100,900,0.01520270270270263,6757300
23/01/2025,57300,59500,57300,59200,1800,0.03135888501742157,5657500
22/01/2025,57900,58000,57400,57400,-300,-0.005199306759098743,3103000
21/01/2025,57700,58200,57200,57700,200,0.003478260869565153,3419600
20/01/2025,57700,57900,57300,57500,-200,-0.0034662045060658286,2216200
17/01/2025,57300,57800,57200,57700,-100,-0.0017301038062284002,2697800
16/01/2025,57200,58000,57000,57800,500,0.008726003490401313,3794300
15/01/2025,57400,57900,56800,57300,100,0.0017482517482516613,3242300
14/01/2025,57300,57500,56600,57200,-100,-0.0017452006980802626,2917600
13/01/2025,56600,57700,56500,57300,-200,-0.003478260869565264,3791900
10/01/2025,57500,58000,56900,57500,-200,-0.0034662045060658286,3594100
09/01/2025,58000,58000,57500,57700,-400,-0.0068846815834767705,1738300
08/01/2025,57100,58100,56500,58100,1000,0.017513134851138368,3068200
07/01/2025,57300,57800,56400,57100,100,0.0017543859649122862,5532900
06/01/2025,58400,59300,57000,57000,-1600,-0.027303754266211566,5409900
03/01/2025,60600,60700,58600,58600,-2000,-0.03300330033003296,6604400
02/01/2025,60900,61200,60300,60600,-400,-0.006557377049180357,3969400
31/12/2024,60900,61000,60500,61000,0,0,4520300
30/12/2024,60500,61200,60500,61000,-400,-0.006514657980456029,4178100
27/12/2024,60600,61600,60400,61400,-100,-0.001626016260162566,6947200
26/12/2024,62400,62400,60500,61500,-700,-0.0112540192926045,6554700
25/12/2024,61300,62300,61300,62200,900,0.014681892332789603,6300500
24/12/2024,61200,61300,60700,61300,300,0.004918032786885185,3062600
23/12/2024,60600,61100,60500,61000,400,0.0066006600660066805,5538600
20/12/2024,60000,60800,59600,60600,800,0.013377926421404673,3751400
19/12/2024,59800,59900,59400,59800,-400,-0.006644518272425293,7103100
18/12/2024,60200,60500,59900,60200,-100,-0.0016583747927031434,4076200
17/12/2024,61000,61000,60200,60300,-700,-0.011475409836065542,3676200
16/12/2024,61000,61400,60200,61000,0,0,3621300
13/12/2024,59800,61300,59600,61000,1000,0.016666666666666607,5596800
12/12/2024,60300,60500,59900,60000,0,0,3772900
11/12/2024,60700,60800,59900,60000,-800,-0.013157894736842146,4821400
10/12/2024,61100,61200,60500,60800,-300,-0.004909983633387904,4226800
09/12/2024,61600,61600,60800,61100,0,0,4410300
06/12/2024,60800,61900,60500,61100,100,0.0016393442622950616,7825300
05/12/2024,58400,61200,58100,61000,2900,0.04991394148020656,8615300
04/12/2024,59400,59800,58000,58100,-1700,-0.02842809364548493,8857200
03/12/2024,60100,60300,59600,59800,-600,-0.009933774834437137,4019600
02/12/2024,60700,60700,59900,60400,-100,-0.0016528925619834212,2789900
29/11/2024,60000,60500,58900,60500,500,0.008333333333333304,5587400
28/11/2024,60300,60600,59700,60000,-200,-0.0033222591362126463,3774500
27/11/2024,59900,60900,59500,60200,200,0.0033333333333334103,4937400
26/11/2024,59300,60100,59000,60000,1000,0.016949152542372836,4370400
25/11/2024,58800,59300,58600,59000,0,0,4568500
22/11/2024,58700,59400,58400,59000,300,0.005110732538330387,5804700
21/11/2024,57000,58900,56500,58700,1900,0.03345070422535201,8166800
20/11/2024,57200,58100,56000,56800,-700,-0.012173913043478257,9752900
19/11/2024,59000,59000,57500,57500,-1400,-0.02376910016977929,5338500
18/11/2024,59900,59900,57100,58900,-1000,-0.016694490818030094,12080100
15/11/2024,60800,61100,59800,59900,-1400,-0.022838499184339334,6648600
14/11/2024,61500,61600,60700,61300,-600,-0.009693053311793265,4481400
13/11/2024,60800,62300,60300,61900,1100,0.018092105263157965,7232500
12/11/2024,63100,63200,60800,60800,-2200,-0.03492063492063491,10600700
11/11/2024,64500,65000,62900,63000,-2000,-0.03076923076923077,9390500
08/11/2024,65400,65400,64500,65000,-400,-0.006116207951070374,4698600
07/11/2024,65800,65800,64800,65400,-200,-0.0030487804878048808,5244200
06/11/2024,65700,65700,65000,65600,0,0,5415900
05/11/2024,64900,65600,64800,65600,500,0.007680491551459223,5272300
04/11/2024,65900,65900,64700,65100,-900,-0.013636363636363669,9363400
01/11/2024,65900,66100,65500,66000,-500,-0.007518796992481258,21332900
31/10/2024,66000,66500,65600,66500,500,0.007575757575757569,6146200
30/10/2024,66500,66500,65700,66000,-500,-0.007518796992481258,8927400
29/10/2024,65600,66500,65400,66500,1000,0.01526717557251911,9538500
28/10/2024,65500,65600,64900,65500,0,0,3958700
25/10/2024,65400,66000,65000,65500,100,0.001529051987767538,4951300
24/10/2024,65400,66000,64900,65400,-300,-0.004566210045662156,4641700
23/10/2024,66100,66300,65100,65700,-600,-0.009049773755656076,6100300
22/10/2024,66300,66800,65500,66300,500,0.0075987841945288626,9781100
21/10/2024,65300,66000,64900,65800,100,0.0015220700152207556,4333000
18/10/2024,65900,66100,65200,65700,-100,-0.001519756838905817,6162200
17/10/2024,65800,65800,65200,65800,300,0.004580152671755711,6628300
16/10/2024,64400,65700,64300,65500,1100,0.017080745341614856,13710200
15/10/2024,63900,64800,63700,64400,800,0.012578616352201255,12469800
14/10/2024,64900,65000,63600,63600,-900,-0.013953488372092981,8405400
11/10/2024,65000,65300,63500,64500,-500,-0.007692307692307665,10009100
10/10/2024,64500,65400,64100,65000,800,0.012461059190031154,8668600
09/10/2024,65000,65300,63600,64200,-1000,-0.015337423312883458,20847000
08/10/2024,66700,66700,65000,65200,-1100,-0.016591251885369585,11008100
07/10/2024,66700,67100,65900,66300,-100,-0.001506024096385561,5548200
04/10/2024,66500,66800,66200,66400,100,0.0015082956259426794,5272300
03/10/2024,67400,67400,65800,66300,-1100,-0.016320474777448024,14743000
02/10/2024,67500,67900,67000,67400,-400,-0.005899705014749235,7157400
01/10/2024,68300,68700,67800,67800,-300,-0.004405286343612369,9995700
30/09/2024,67500,68100,66900,68100,600,0.008888888888888946,5927100
27/09/2024,68600,68600,66800,67500,-800,-0.01171303074670571,13131500
26/09/2024,68800,69500,68300,68300,-400,-0.005822416302765698,7182600
25/09/2024,68500,68700,68000,68700,600,0.008810572687224738,5446300
24/09/2024,67500,68800,67500,68100,800,0.011887072808320909,6640500
23/09/2024,68000,68000,66800,67300,-700,-0.010294117647058787,5047700
20/09/2024,68600,68700,68000,68000,-200,-0.0029325513196480912,5016600
19/09/2024,68500,68500,67700,68200,0,0,5280600
18/09/2024,66900,68600,66800,68200,1400,0.020958083832335328,10676700
17/09/2024,66200,66800,65500,66800,700,0.010590015128593144,8761200
16/09/2024,66900,67000,66000,66100,-1100,-0.016369047619047672,5295500
13/09/2024,67200,67500,66500,67200,-300,-0.004444444444444473,7126500
12/09/2024,68000,68000,67200,67500,-300,-0.004424778761061954,3872500
11/09/2024,67800,67900,67100,67800,0,0,6804000
10/09/2024,67500,68700,67500,67800,300,0.004444444444444473,6456200
09/09/2024,67700,68000,67200,67500,-500,-0.007352941176470562,3677000
06/09/2024,67600,68000,66800,68000,100,0.0014727540500736325,8345500
05/09/2024,68800,68900,67600,67900,-1200,-0.01736613603473225,8459500
04/09/2024,68700,69700,68200,69100,-700,-0.01002865329512892,4462400
30/08/2024,69100,69800,68700,69800,700,0.01013024602026058,5295100
29/08/2024,68900,69400,68600,69100,-300,-0.004322766570605152,4226000
28/08/2024,69700,69700,68700,69400,-400,-0.005730659025787954,6602000
27/08/2024,69400,69800,67800,69800,0,0,14475100
26/08/2024,70000,70800,69600,69800,-200,-0.0028571428571428914,5961000
23/08/2024,70000,70200,69300,70000,0,0,4425700
22/08/2024,69700,70200,69100,70000,200,0.002865329512893977,5281400
21/08/2024,69400,70200,68900,69800,300,0.004316546762589857,8947700
